REF_DATE,North American Industry Classification System (NAICS),VALUE
10-Jan,"Business sector, services [T006]",828443
10-Feb,"Business sector, services [T006]",830223
10-Mar,"Business sector, services [T006]",833630
10-Apr,"Business sector, services [T006]",832134
10-May,"Business sector, services [T006]",831800
10-Jun,"Business sector, services [T006]",832869
10-Jul,"Business sector, services [T006]",834411
10-Aug,"Business sector, services [T006]",838708
10-Sep,"Business sector, services [T006]",840152
10-Oct,"Business sector, services [T006]",843636
10-Nov,"Business sector, services [T006]",849450
10-Dec,"Business sector, services [T006]",853291
11-Jan,"Business sector, services [T006]",858037
11-Feb,"Business sector, services [T006]",856990
11-Mar,"Business sector, services [T006]",857929
11-Apr,"Business sector, services [T006]",856789
11-May,"Business sector, services [T006]",858913
11-Jun,"Business sector, services [T006]",862069
11-Jul,"Business sector, services [T006]",865358
11-Aug,"Business sector, services [T006]",867878
11-Sep,"Business sector, services [T006]",869939
11-Oct,"Business sector, services [T006]",872688
11-Nov,"Business sector, services [T006]",874403
11-Dec,"Business sector, services [T006]",877664
12-Jan,"Business sector, services [T006]",876923
12-Feb,"Business sector, services [T006]",878469
12-Mar,"Business sector, services [T006]",881465
12-Apr,"Business sector, services [T006]",880995
12-May,"Business sector, services [T006]",882789
12-Jun,"Business sector, services [T006]",884610
12-Jul,"Business sector, services [T006]",888203
12-Aug,"Business sector, services [T006]",888185
12-Sep,"Business sector, services [T006]",888429
12-Oct,"Business sector, services [T006]",886010
12-Nov,"Business sector, services [T006]",888795
12-Dec,"Business sector, services [T006]",889132
13-Jan,"Business sector, services [T006]",894765
13-Feb,"Business sector, services [T006]",895086
13-Mar,"Business sector, services [T006]",898505
13-Apr,"Business sector, services [T006]",903049
13-May,"Business sector, services [T006]",907546
13-Jun,"Business sector, services [T006]",905679
13-Jul,"Business sector, services [T006]",910106
13-Aug,"Business sector, services [T006]",913243
13-Sep,"Business sector, services [T006]",915903
13-Oct,"Business sector, services [T006]",919989
13-Nov,"Business sector, services [T006]",924491
13-Dec,"Business sector, services [T006]",922654
14-Jan,"Business sector, services [T006]",922043
14-Feb,"Business sector, services [T006]",924302
14-Mar,"Business sector, services [T006]",927567
14-Apr,"Business sector, services [T006]",927906
14-May,"Business sector, services [T006]",934333
14-Jun,"Business sector, services [T006]",940034
14-Jul,"Business sector, services [T006]",942438
14-Aug,"Business sector, services [T006]",944943
14-Sep,"Business sector, services [T006]",946849
14-Oct,"Business sector, services [T006]",946166
14-Nov,"Business sector, services [T006]",947211
14-Dec,"Business sector, services [T006]",949295
15-Jan,"Business sector, services [T006]",945706
15-Feb,"Business sector, services [T006]",946863
15-Mar,"Business sector, services [T006]",948277
15-Apr,"Business sector, services [T006]",949934
15-May,"Business sector, services [T006]",949060
15-Jun,"Business sector, services [T006]",953468
15-Jul,"Business sector, services [T006]",955548
15-Aug,"Business sector, services [T006]",956172
15-Sep,"Business sector, services [T006]",955633
15-Oct,"Business sector, services [T006]",957570
15-Nov,"Business sector, services [T006]",960780
15-Dec,"Business sector, services [T006]",961648
16-Jan,"Business sector, services [T006]",968721
16-Feb,"Business sector, services [T006]",968096
16-Mar,"Business sector, services [T006]",966747
16-Apr,"Business sector, services [T006]",968921
16-May,"Business sector, services [T006]",968173
16-Jun,"Business sector, services [T006]",970730
16-Jul,"Business sector, services [T006]",975155
16-Aug,"Business sector, services [T006]",977393
16-Sep,"Business sector, services [T006]",978631
16-Oct,"Business sector, services [T006]",979856
16-Nov,"Business sector, services [T006]",980309
16-Dec,"Business sector, services [T006]",982855
17-Jan,"Business sector, services [T006]",987574
17-Feb,"Business sector, services [T006]",991507
17-Mar,"Business sector, services [T006]",997145
17-Apr,"Business sector, services [T006]",1002442
17-May,"Business sector, services [T006]",1005966
17-Jun,"Business sector, services [T006]",1006843
17-Jul,"Business sector, services [T006]",1007045
17-Aug,"Business sector, services [T006]",1006421
17-Sep,"Business sector, services [T006]",1006802
17-Oct,"Business sector, services [T006]",1011433
17-Nov,"Business sector, services [T006]",1013355
17-Dec,"Business sector, services [T006]",1015633
18-Jan,"Business sector, services [T006]",1013273
18-Feb,"Business sector, services [T006]",1014001
18-Mar,"Business sector, services [T006]",1014476
18-Apr,"Business sector, services [T006]",1014980
18-May,"Business sector, services [T006]",1021494
18-Jun,"Business sector, services [T006]",1021157
18-Jul,"Business sector, services [T006]",1022747
18-Aug,"Business sector, services [T006]",1026342
18-Sep,"Business sector, services [T006]",1029124
18-Oct,"Business sector, services [T006]",1032884
18-Nov,"Business sector, services [T006]",1031058
18-Dec,"Business sector, services [T006]",1032441
19-Jan,"Business sector, services [T006]",1034704
19-Feb,"Business sector, services [T006]",1032804
19-Mar,"Business sector, services [T006]",1039023
19-Apr,"Business sector, services [T006]",1042073
19-May,"Business sector, services [T006]",1042641
19-Jun,"Business sector, services [T006]",1045623
19-Jul,"Business sector, services [T006]",1049627
19-Aug,"Business sector, services [T006]",1050811
