Month,Total Reserves excluding Gold
1957-01,934620000.8
1957-02,929020000.8
1957-03,929020000.8
1957-04,905220000.8
1957-05,934320000.8
1957-06,951120000.9
1957-07,977020000.9
1957-08,950720000.9
1957-09,897520000.8
1957-10,927320000.8
1957-11,898720000.8
1957-12,835820000.7
1958-01,862720000.8
1958-02,888020000.8
1958-03,886120000.8
1958-04,888320000.8
1958-05,926220000.8
1958-06,950920000.9
1958-07,958120000.9
1958-08,951820000.9
1958-09,917720000.8
1958-10,950220000.9
1958-11,957810000.9
1958-12,968210000.9
1959-01,932610000.8
1959-02,910510000.8
1959-03,923610000.8
1959-04,947110000.9
1959-05,950110000.9
1959-06,966910000.9
1959-07,962410000.9
1959-08,978010000.9
1959-09,1006810001
1959-10,1076810001
1959-11,1071710001
1959-12,1077210001
1960-01,1079810001
1960-02,1075210001
1960-03,1074910001
1960-04,1065910001
1960-05,986710000.8
1960-06,1031710001
1960-07,1084210001
1960-08,1101710001
1960-09,1089920001
1960-10,1125720001
1960-11,1123620001
1960-12,1112520001
1961-01,1168820001
1961-02,1196720001
1961-03,1221440001
1961-04,1228740001
1961-05,1234440001
1961-06,1263440001
1961-07,1233340001
1961-08,1233740001
1961-09,1233640001
1961-10,1414540001
1961-11,1373240001
1961-12,1345840001
1962-01,1207640001
1962-02,1020340001
1962-03,969740000.8
1962-04,838040000.7
1962-05,765140000.6
1962-06,1163200001
1962-07,1466400001
1962-08,1668800002
1962-09,1778200002
1962-10,1941400002
1962-11,1925800002
1962-12,1852000002
1963-01,1969700002
1963-02,1890000002
1963-03,1889900002
1963-04,1954900002
1963-05,1987700002
1963-06,1959500002
1963-07,1760700002
1963-08,1725000002
1963-09,1815200002
1963-10,1818000002
1963-11,1850900002
1963-12,1796100002
1964-01,1763800002
1964-02,1711950002
1964-03,1643750002
1964-04,1627050002
1964-05,1638250002
1964-06,1645750002
1964-07,1627150002
1964-08,1654550002
1964-09,1733050002
1964-10,1839200002
1964-11,1891500002
1964-12,1863800002
1965-01,1847400002
1965-02,1838200002
1965-03,1780700002
1965-04,1787000002
1965-05,1762500001
1965-06,1736600001
1965-07,1753800001
1965-08,1863300002
1965-09,1921200002
1965-10,1925200002
1965-11,1924700002
1965-12,1886100002
1966-01,1884700001
1966-02,1873050001
1966-03,1827310001
1966-04,1786160001
1966-05,1817870001
1966-06,1774070001
1966-07,1788770001
1966-08,1748860001
1966-09,1709210001
1966-10,1677570001
1966-11,1678270001
1966-12,1656270001
1967-01,1667570001
1967-02,1609970001
1967-03,1604970001
1967-04,1627580001
1967-05,1607380001
1967-06,1572890001
1967-07,1575220001
1967-08,1578770001
1967-09,1589870001
1967-10,1666380001
1967-11,1613780001
1967-12,1701990001
1968-01,1592790001
1968-02,1473590001
1968-03,1284690001
1968-04,1480590001
1968-05,1822790002
1968-06,1784610002
1968-07,1722910002
1968-08,1798910002
1968-09,1874400002
1968-10,1864790002
1968-11,2022390002
1968-12,2182700002
1969-01,2226800002
1969-02,2181600002
1969-03,2147600002
1969-04,2167710002
1969-05,2148810002
1969-06,2095110002
1969-07,2068620002
1969-08,2100820002
1969-09,2084100002
1969-10,2177990002
1969-11,2202990002
1969-12,2233990002
1970-01,2441310002
1970-02,2544810002
1970-03,2718410002
1970-04,2943320002
1970-05,3204370003
1970-06,3453770003
1970-07,3564330003
1970-08,3735700003
1970-09,3673000003
1970-10,3726990003
1970-11,3764090003
1970-12,3888290003
1971-01,4008390003
1971-02,4059100003
1971-03,4053600003
1971-04,4063110003
1971-05,4086990003
1971-06,4060180003
1971-07,4132190003
1971-08,4200360004
1971-09,4199820004
1971-10,4279620004
1971-11,4481860004
1971-12,4456997448
1972-01,4545442125
1972-02,4556032139
1972-03,4631082888
1972-04,4678947555
1972-05,4800310158
1972-06,4958653393
1972-07,4934140142
1972-08,4941719127
1972-09,4961742344
1972-10,4968862865
1972-11,4800889040
1972-12,4803985357
1973-01,4725435609
1973-02,4402625509
1973-03,4331741603
1973-04,4282181901
1973-05,4317065561
1973-06,4243446138
1973-07,4185524860
1973-08,4017867599
1973-09,3972859472
1973-10,4016988383
1973-11,3986261824
1973-12,4013296012
1974-01,4084389650
1974-02,4368856306
1974-03,4289436093
1974-04,4400124706
1974-05,4395957607
1974-06,4307189507
1974-07,4231332519
1974-08,4172572654
1974-09,4124539780
1974-10,4092685265
1974-11,4034460294
1974-12,3989572531
1975-01,3915065910
1975-02,3909084162
1975-03,3902368353
1975-04,3690158747
1975-05,3561363929
1975-06,3542370510
1975-07,3619247156
1975-08,3605053347
1975-09,3713049253
1975-10,3702654870
1975-11,3855248785
1975-12,3780966956
1976-01,4022644227
1976-02,4260546037
1976-03,4280608864
1976-04,4284890908
1976-05,4328193322
1976-06,4462924736
1976-07,4292286205
1976-08,4089138298
1976-09,4288566506
1976-10,4298892695
1976-11,3661028570
1976-12,4272877969
1977-01,4163088540
1977-02,3794749218
1977-03,3629849181
1977-04,3697946345
1977-05,3738631548
1977-06,3607260841
1977-07,3511240115
1977-08,3405318904
1977-09,3344535514
1977-10,2774067208
1977-11,2780682447
1977-12,3022833057
1978-01,2855237366
1978-02,2245015433
1978-03,2440801065
1978-04,2967457857
1978-05,3115477915
1978-06,3053755099
1978-07,2872188703
1978-08,2527265121
1978-09,2090284739
1978-10,3009537124
1978-11,2754521617
1978-12,2730394951
1979-01,2648566272
1979-02,2416390750
1979-03,3438772743
1979-04,3267975099
1979-05,2439665775
1979-06,2462587222
1979-07,2487050744
1979-08,2515841563
1979-09,2652229853
1979-10,2279845364
1979-11,2267318573
1979-12,2174360186
1980-01,2322840358
1980-02,2662656764
1980-03,2170267464
1980-04,2308769771
1980-05,2467799454
1980-06,2506153012
1980-07,2317641465
1980-08,2503328766
1980-09,2270436748
1980-10,2113674909
1980-11,1979784145
1980-12,2425055732
1981-01,2027963396
1981-02,1997836059
1981-03,2292229021
1981-04,1893410245
1981-05,1984037921
1981-06,1922796033
1981-07,1315560965
1981-08,2177019133
1981-09,1892117445
1981-10,1712573300
1981-11,3135039071
1981-12,3039177768
1982-01,3028471510
1982-02,2392226847
1982-03,1954757519
1982-04,2336031930
1982-05,1841015801
1982-06,1966731751
1982-07,2281864981
1982-08,2854504345
1982-09,2822972551
1982-10,2674962739
1982-11,2684443264
1982-12,2729599364
1983-01,3074679254
1983-02,3534228962
1983-03,3234553604
1983-04,3360444563
1983-05,3222209301
1983-06,3392845391
1983-07,3427060619
1983-08,3615350504
1983-09,3632372980
1983-10,3775482066
1983-11,3602923471
1983-12,3311006251
1984-01,3429700974
1984-02,3222405613
1984-03,2726430913
1984-04,2425511165
1984-05,2818878729
1984-06,2090460981
1984-07,3432257430
1984-08,2867309938
1984-09,2662686108
1984-10,2839979117
1984-11,2411517133
1984-12,2541593952
1985-01,2349205684
1985-02,2183467023
1985-03,3102709162
1985-04,2733131915
1985-05,2423220343
1985-06,2336848147
1985-07,2698093888
1985-08,2432172442
1985-09,2328633755
1985-10,2209962727
1985-11,2405544866
1985-12,2278457354
1986-01,2207323052
1986-02,3176039795
1986-03,2178018068
1986-04,2244278991
1986-05,2310787319
1986-06,2125936141
1986-07,2178519348
1986-08,1974723934
1986-09,1858815398
1986-10,2427403619
1986-11,2519135993
1986-12,2657996156
1987-01,4103827154
1987-02,4493956150
1987-03,5365381222
1987-04,4053509643
1987-05,3781956873
1987-06,4297498605
1987-07,4402158267
1987-08,4939552854
1987-09,5235807425
1987-10,5355586035
1987-11,5100697603
1987-12,5129738341
1988-01,6329782037
1988-02,7044032886
1988-03,8426021195
1988-04,9219561000
1988-05,9184702731
1988-06,11762228072
1988-07,11240526526
1988-08,10147743402
1988-09,10783412196
1988-10,11428436529
1988-11,11164643683
1988-12,11436909218
1989-01,12070376731
1989-02,11642280848
1989-03,11931680479
1989-04,11860055275
