Date      FYGM3     FYGM6     FYGT1     FYGT3     FYGT5    FYGT10         
1959M01      2.82      3.09      3.36      3.91      4.01      4.02         
1959M02       2.7      3.13      3.54      3.92      3.96      3.96         
1959M03       2.8      3.13      3.61      3.97      3.99      3.99         
1959M04      2.95      3.27      3.72      4.03      4.12      4.12         
1959M05      2.84      3.33      3.96      4.25      4.35      4.31         
1959M06      3.21      3.52      4.07      4.52       4.5      4.34         
1959M07       3.2      3.82      4.39       4.6      4.58       4.4         
1959M08      3.38      3.87      4.42       4.6      4.57      4.43         
1959M09      4.04       4.7         5      4.97       4.9      4.68         
1959M10      4.05      4.53       4.8      4.78      4.72      4.53         
1959M11      4.15      4.54      4.81      4.85      4.75      4.53         
1959M12      4.49      4.85      5.14      5.12      5.01      4.69         
1960M01      4.35      4.74      5.03      4.99      4.92      4.72         
1960M02      3.96       4.3      4.66      4.73      4.69      4.49         
1960M03      3.31      3.61      4.02      4.29      4.31      4.25         
1960M04      3.23      3.55      4.04      4.27      4.29      4.28         
1960M05      3.29      3.58      4.21      4.46      4.49      4.35         
1960M06      2.46      2.74      3.36      4.01      4.12      4.15         
1960M07       2.3      2.71       3.2      3.63      3.79       3.9         
1960M08       2.3      2.59      2.95      3.41      3.62       3.8         
1960M09      2.48      2.83      3.07      3.43      3.61       3.8         
1960M10       2.3      2.73      3.04      3.53      3.76      3.89         
1960M11      2.37      2.66      3.08       3.6      3.81      3.93         
1960M12      2.25       2.5      2.86      3.42      3.67      3.84         
1961M01      2.24      2.47      2.81      3.39      3.67      3.84         
1961M02      2.42       2.6      2.93      3.46      3.66      3.78         
1961M03      2.39      2.54      2.88      3.35       3.6      3.74         
1961M04      2.29      2.47      2.88      3.33      3.57      3.78         
1961M05      2.29      2.45      2.87      3.23      3.47      3.71         
1961M06      2.33      2.54      3.06      3.63      3.81      3.88         
1961M07      2.24      2.45      2.92      3.59      3.84      3.92         
1961M08      2.39      2.66      3.06      3.76      3.96      4.04         
1961M09      2.28      2.68      3.06      3.73       3.9      3.98         
1961M10       2.3      2.66      3.05      3.62       3.8      3.92         
1961M11      2.48       2.7      3.07      3.61      3.82      3.94         
1961M12       2.6      2.88      3.18      3.72      3.91      4.06         
1962M01      2.72      2.94      3.28      3.76      3.94      4.08         
1962M02      2.73      2.93      3.28      3.69      3.89      4.04         
1962M03      2.72      2.87      3.06      3.45      3.68      3.93         
1962M04      2.73      2.83      2.99      3.38       3.6      3.84         
1962M05      2.69      2.78      3.03       3.4      3.66      3.87         
1962M06      2.73       2.8      3.03      3.39      3.64      3.91         
1962M07      2.92      3.08      3.29      3.62       3.8      4.01         
1962M08      2.82      2.99       3.2      3.46      3.71      3.98         
1962M09      2.78      2.93      3.06      3.41       3.7      3.98         
1962M10      2.74      2.84      2.98      3.33      3.64      3.93         
1962M11      2.83      2.89         3       3.4       3.6      3.92         
1962M12      2.87      2.91      3.01      3.37      3.56      3.86         
1963M01      2.91      2.96      3.04       3.4      3.58      3.83         
1963M02      2.92      2.98      3.01      3.39      3.66      3.92         
1963M03      2.89      2.95      3.03      3.41      3.68      3.93         
1963M04       2.9      2.98      3.11       3.5      3.74      3.97         
1963M05      2.93      3.01      3.12      3.54      3.72      3.93         
1963M06      2.99      3.08       3.2      3.61      3.81      3.99         
1963M07      3.18      3.31      3.48      3.76      3.89      4.02         
1963M08      3.32      3.44      3.53      3.77      3.89         4         
1963M09      3.38       3.5      3.57      3.82      3.96      4.08         
1963M10      3.45      3.58      3.64      3.87      3.97      4.11         
1963M11      3.52      3.65      3.74      3.95      4.01      4.12         
1963M12      3.52      3.66      3.81      4.01      4.04      4.13         
1964M01      3.52      3.64      3.79      4.04      4.07      4.17         
1964M02      3.53      3.67      3.78         4      4.03      4.15         
1964M03      3.54      3.72      3.91      4.12      4.14      4.22         
1964M04      3.47      3.66      3.91      4.15      4.15      4.23         
1964M05      3.48       3.6      3.84      4.04      4.05       4.2         
1964M06      3.48      3.56      3.83      4.01      4.02      4.17         
1964M07      3.46      3.56      3.72      3.93      4.03      4.19         
1964M08       3.5      3.61      3.74      3.93      4.05      4.19         
1964M09      3.53      3.68      3.84      4.01      4.08       4.2         
1964M10      3.57      3.72      3.86      4.02      4.07      4.19         
1964M11      3.64      3.81      3.91      4.04      4.04      4.15         
1964M12      3.84      3.95      4.02      4.08      4.09      4.18         
1965M01      3.81      3.94      3.94      4.03       4.1      4.19         
1965M02      3.93         4      4.03      4.08      4.15      4.21         
1965M03      3.93         4      4.06      4.13      4.15      4.21         
1965M04      3.93      3.99      4.04      4.12      4.15       4.2         
1965M05      3.89      3.95      4.03      4.11      4.15      4.21         
1965M06       3.8      3.86      3.99      4.08      4.15      4.21         
1965M07      3.84       3.9      3.98      4.09      4.15       4.2         
1965M08      3.84      3.95      4.07      4.16       4.2      4.25         
1965M09      3.92      4.07       4.2      4.24      4.25      4.29         
1965M10      4.03      4.19       4.3      4.33      4.34      4.35         
1965M11      4.09      4.24      4.37      4.45      4.46      4.45         
1965M12      4.38      4.55      4.72      4.79      4.72      4.62         
1966M01      4.59      4.71      4.88       4.9      4.86      4.61         
1966M02      4.65      4.82      4.94      5.02      4.98      4.83         
1966M03      4.59      4.78      4.97      4.97      4.92      4.87         
1966M04      4.62      4.74       4.9      4.89      4.83      4.75         
1966M05      4.64      4.81      4.93         5      4.89      4.78         
1966M06       4.5      4.65      4.97      5.05      4.97      4.81         
1966M07       4.8      4.93      5.17      5.26      5.17      5.02         
1966M08      4.96      5.27      5.54      5.68       5.5      5.22         
1966M09      5.37      5.79      5.82      5.79       5.5      5.18         
1966M10      5.35      5.62      5.58      5.48      5.27      5.01         
1966M11      5.32      5.54      5.54      5.53      5.36      5.16         
1966M12      4.96      5.07       5.2      5.19         5      4.84         
1967M01      4.72      4.74      4.75      4.75       4.7      4.58         
1967M02      4.56      4.59      4.71      4.73      4.74      4.63         
1967M03      4.26      4.22      4.35      4.47      4.54      4.54         
1967M04      3.84      3.89      4.11      4.38      4.51      4.59         
1967M05       3.6       3.8      4.15      4.61      4.75      4.85         
1967M06      3.54      3.89      4.48      4.89      5.01      5.02         
1967M07      4.21      4.72      5.01      5.06      5.23      5.16         
1967M08      4.27      4.83      5.13      5.23      5.31      5.28         
1967M09      4.42      4.96      5.24      5.41       5.4       5.3         
1967M10      4.56      5.07      5.37      5.52      5.57      5.48         
1967M11      4.73      5.25      5.61      5.71      5.78      5.75         
1967M12      4.97      5.49      5.71      5.71      5.75       5.7         
1968M01         5      5.24      5.43      5.53      5.54      5.53         
1968M02      4.98      5.17      5.41      5.61      5.59      5.56         
1968M03      5.17      5.33      5.58       5.8      5.76      5.74         
1968M04      5.38      5.49      5.71      5.75      5.69      5.64         
1968M05      5.66      5.83      6.14      6.11      6.04      5.87         
1968M06      5.52      5.64      5.98      5.82      5.85      5.72         
