Date,temperature
1/1/2011,10.7
1/2/2011,1.1
1/3/2011,0.9
1/4/2011,1.9
1/5/2011,0.7
1/6/2011,-1.6
1/7/2011,-2.9
1/8/2011,-3.4
1/9/2011,-2.9
1/10/2011,-2.4
1/11/2011,-4.1
1/12/2011,-6.5
1/13/2011,-5.5
1/14/2011,-0.7
1/15/2011,-0.6
1/16/2011,-4.6
1/17/2011,-0.3
1/18/2011,3.8
1/19/2011,-1.5
1/20/2011,-4.2
1/21/2011,-4.1
1/22/2011,-7.7
1/23/2011,-10.3
1/24/2011,-4.3
1/25/2011,0.7
1/26/2011,-0.5
1/27/2011,0.5
1/28/2011,-0.2
1/29/2011,-3.2
1/30/2011,-2.7
1/31/2011,-9.7
2/1/2011,-6.3
2/2/2011,-7.3
2/3/2011,-1.9
2/4/2011,-3.5
2/5/2011,0.6
2/6/2011,1.1
2/7/2011,1.5
2/8/2011,-8.5
2/9/2011,-3.6
2/10/2011,-6.8
2/11/2011,-3.1
2/12/2011,-0.2
2/13/2011,5.8
2/14/2011,7.1
2/15/2011,-1.9
2/16/2011,5.1
2/17/2011,10
2/18/2011,11.1
2/19/2011,0.1
2/20/2011,-3.2
2/21/2011,-5.1
2/22/2011,-3.9
2/23/2011,-0.1
2/24/2011,3.1
2/25/2011,1.6
2/26/2011,-1.4
2/27/2011,3.6
2/28/2011,3.5
3/1/2011,2.3
3/2/2011,2.9
3/3/2011,-1.8
3/4/2011,4.8
3/5/2011,7.2
3/6/2011,-1.1
3/7/2011,0
3/8/2011,0.9
3/9/2011,3.4
3/10/2011,5.8
3/11/2011,5.3
3/12/2011,3.8
3/13/2011,3.5
3/14/2011,3.4
3/15/2011,5.7
3/16/2011,9.1
3/17/2011,12.8
3/18/2011,16.2
3/19/2011,5.9
3/20/2011,3.4
3/21/2011,10.2
3/22/2011,6.1
3/23/2011,0.3
3/24/2011,0.3
3/25/2011,0.9
3/26/2011,-0.4
3/27/2011,-0.3
3/28/2011,4.2
3/29/2011,7.7
3/30/2011,7.1
3/31/2011,3.8
4/1/2011,10.9
4/2/2011,13.1
4/3/2011,10.5
4/4/2011,14.6
4/5/2011,6.7
4/6/2011,6.9
4/7/2011,8.5
4/8/2011,9.3
4/9/2011,12.8
4/10/2011,15.9
4/11/2011,22.5
4/12/2011,12.2
4/13/2011,10.6
4/14/2011,13.8
4/15/2011,5.9
4/16/2011,8.2
4/17/2011,7.2
4/18/2011,3.3
4/19/2011,5.6
4/20/2011,7.7
4/21/2011,8.3
4/22/2011,7.9
4/23/2011,22.3
4/24/2011,12.3
4/25/2011,11.7
4/26/2011,11.1
4/27/2011,20.9
4/28/2011,17.1
4/29/2011,10.4
4/30/2011,13.8
5/1/2011,12.9
5/2/2011,14
5/3/2011,9
5/4/2011,14.3
5/5/2011,17.3
5/6/2011,15.5
5/7/2011,16.7
5/8/2011,16.4
5/9/2011,17.2
5/10/2011,15.2
5/11/2011,17.9
5/12/2011,16.8
5/13/2011,26.6
5/14/2011,17.3
5/15/2011,12.8
5/16/2011,9.9
5/17/2011,14.5
5/18/2011,18.5
5/19/2011,18.9
5/20/2011,24.5
5/21/2011,26.3
5/22/2011,21.4
5/23/2011,22.1
5/24/2011,19.8
5/25/2011,14.9
5/26/2011,21.7
5/27/2011,14.3
5/28/2011,20.1
5/29/2011,22.9
5/30/2011,25.1
5/31/2011,29.6
6/1/2011,27.1
6/2/2011,20.8
6/3/2011,23
6/4/2011,18
6/5/2011,27.9
6/6/2011,26.8
6/7/2011,27.3
6/8/2011,34.2
6/9/2011,27.7
6/10/2011,19.6
6/11/2011,20.2
6/12/2011,19.9
6/13/2011,19.3
6/14/2011,19.7
6/15/2011,27.3
6/16/2011,25.1
6/17/2011,24.9
6/18/2011,27.7
6/19/2011,21.1
6/20/2011,23.8
6/21/2011,25.5
6/22/2011,21.8
6/23/2011,26.1
6/24/2011,23.4
6/25/2011,22
6/26/2011,24
6/27/2011,25.1
6/28/2011,27.3
6/29/2011,23.9
6/30/2011,26.3
7/1/2011,26.4
7/2/2011,26.8
7/3/2011,31.1
7/4/2011,29.4
7/5/2011,28.9
7/6/2011,30
7/7/2011,24.9
7/8/2011,27.8
7/9/2011,25.7
7/10/2011,31.3
7/11/2011,31.7
7/12/2011,33.1
7/13/2011,26.8
7/14/2011,26.9
7/15/2011,27.4
7/16/2011,31.5
7/17/2011,33.8
7/18/2011,34.5
7/19/2011,28.4
7/20/2011,34.2
7/21/2011,38.2
7/22/2011,32.5
7/23/2011,33.4
7/24/2011,27
7/25/2011,29.3
7/26/2011,27.3
7/27/2011,27.9
7/28/2011,23.8
7/29/2011,30.9
7/30/2011,30.4
7/31/2011,32.3
8/1/2011,32.4
8/2/2011,30.6
8/3/2011,24.6
8/4/2011,26.4
8/5/2011,27
8/6/2011,29.6
8/7/2011,28.7
8/8/2011,27.8
8/9/2011,23.6
8/10/2011,25.5
8/11/2011,25.9
8/12/2011,27.8
8/13/2011,26.7
8/14/2011,25.1
8/15/2011,26.4
8/16/2011,29.7
8/17/2011,28.6
8/18/2011,30.5
8/19/2011,29.3
8/20/2011,29.8
8/21/2011,23.8
8/22/2011,23.8
8/23/2011,26.9
8/24/2011,26
8/25/2011,26.7
8/26/2011,23.6
8/27/2011,26
8/28/2011,22.2
8/29/2011,25.8
8/30/2011,28.5
8/31/2011,25.1
9/1/2011,25.1
9/2/2011,28.7
9/3/2011,30.8
9/4/2011,26
9/5/2011,18.3
9/6/2011,19.4
9/7/2011,19.2
9/8/2011,21.1
9/9/2011,26.1
9/10/2011,23.3
9/11/2011,25.6
9/12/2011,27.5
9/13/2011,27.1
9/14/2011,22
9/15/2011,16.7
9/16/2011,17.2
9/17/2011,17.8
9/18/2011,19.5
9/19/2011,18.5
9/20/2011,21.9
9/21/2011,22.5
9/22/2011,24.2
9/23/2011,19.3
9/24/2011,21.3
9/25/2011,22.4
9/26/2011,23.2
9/27/2011,23.1
9/28/2011,22
9/29/2011,18.9
9/30/2011,17.3
10/1/2011,12.2
10/2/2011,10.5
10/3/2011,14.5
10/4/2011,20.6
10/5/2011,20.2
10/6/2011,18.1
10/7/2011,21.5
10/8/2011,24.1
10/9/2011,25.5
10/10/2011,25.3
10/11/2011,21.1
10/12/2011,19.1
10/13/2011,19.6
10/14/2011,18
10/15/2011,11.5
10/16/2011,13
10/17/2011,13.3
10/18/2011,13.9
10/19/2011,12.9
10/20/2011,11.6
10/21/2011,11.2
10/22/2011,10.7
10/23/2011,14.2
10/24/2011,15.6
10/25/2011,12.7
10/26/2011,7.6
10/27/2011,5.3
10/28/2011,9.4
10/29/2011,9.3
10/30/2011,10.1
10/31/2011,9.9
11/1/2011,12.7
11/2/2011,15.7
11/3/2011,12.1
11/4/2011,10.2
11/5/2011,7.9
11/6/2011,13.6
11/7/2011,17.1
11/8/2011,13.2
11/9/2011,14.6
11/10/2011,9.5
11/11/2011,6.6
11/12/2011,13.1
11/13/2011,14.8
11/14/2011,15.4
11/15/2011,12.8
11/16/2011,12
11/17/2011,5.5
11/18/2011,6.8
11/19/2011,11.6
11/20/2011,14.8
11/21/2011,2.6
11/22/2011,1.8
11/23/2011,8.2
11/24/2011,8.5
11/25/2011,13.6
11/26/2011,12.3
11/27/2011,12.9
11/28/2011,7.9
11/29/2011,6.4
11/30/2011,4.5
12/1/2011,7.2
12/2/2011,5
12/3/2011,7.8
12/4/2011,10.2
12/5/2011,9.1
12/6/2011,3.7
12/7/2011,2.2
12/8/2011,4.3
12/9/2011,3.5
12/10/2011,-0.7
12/11/2011,4.2
12/12/2011,6.5
12/13/2011,7.2
12/14/2011,8.6
12/15/2011,13.1
12/16/2011,6.3
12/17/2011,0
12/18/2011,3.4
12/19/2011,7.5
12/20/2011,2
12/21/2011,6.7
12/22/2011,6.9
12/23/2011,2.2
12/24/2011,2.7
12/25/2011,6
12/26/2011,4.4
12/27/2011,5
12/28/2011,2
12/29/2011,0.7
12/30/2011,1.5
12/31/2011,4.4
1/1/2012,7.6
1/2/2012,1.8
1/3/2012,-10.4
1/4/2012,1.1
1/5/2012,3.5
1/6/2012,8.4
1/7/2012,8.6
1/8/2012,1.3
1/9/2012,4.8
1/10/2012,5.7
1/11/2012,5.7
1/12/2012,5.9
1/13/2012,5.1
1/14/2012,-6.8
1/15/2012,-4.7
1/16/2012,5
1/17/2012,10.3
1/18/2012,-2.9
1/19/2012,-0.3
1/20/2012,-5.3
1/21/2012,-1.5
1/22/2012,2.6
1/23/2012,8.2
1/24/2012,3
1/25/2012,0
1/26/2012,2.9
1/27/2012,4.6
1/28/2012,3.1
1/29/2012,1.8
1/30/2012,0.4
1/31/2012,11.4
2/1/2012,10.9
2/2/2012,2.1
2/3/2012,4
2/4/2012,3
2/5/2012,3.8
2/6/2012,9
2/7/2012,3.4
2/8/2012,2.1
2/9/2012,5.7
2/10/2012,1.1
2/11/2012,-3.8
2/12/2012,-1.9
