"YEAR","MONTH","CITY","COUNT"
1927,6,"TORONTO",7
1928,6,"TORONTO",6
1929,8,"TORONTO",7
1930,8,"TORONTO",6
1930,6,"TORONTO",12
1930,11,"TORONTO",6
1930,9,"TORONTO",7
1931,4,"TORONTO",6
1931,5,"TORONTO",6
1931,10,"TORONTO",8
1931,9,"TORONTO",11
1932,12,"TORONTO",7
1932,6,"TORONTO",6
1932,9,"TORONTO",6
1933,2,"TORONTO",6
1933,10,"TORONTO",7
1933,9,"TORONTO",6
1934,12,"TORONTO",7
1934,7,"TORONTO",7
1934,10,"TORONTO",7
1934,9,"TORONTO",7
1935,6,"TORONTO",8
1935,10,"TORONTO",8
1936,1,"TORONTO",6
1936,7,"TORONTO",7
1936,6,"TORONTO",7
1936,10,"TORONTO",6
1937,8,"TORONTO",6
1937,7,"TORONTO",9
1937,6,"TORONTO",10
1938,4,"TORONTO",6
1938,7,"TORONTO",9
1938,6,"TORONTO",6
1938,10,"TORONTO",6
1938,9,"TORONTO",6
1939,4,"TORONTO",8
1939,8,"TORONTO",6
1939,12,"TORONTO",7
1939,7,"TORONTO",6
1939,6,"TORONTO",9
1939,11,"TORONTO",7
1939,10,"TORONTO",11
1939,9,"HAMILTON",6
1939,9,"TORONTO",8
1940,8,"TORONTO",15
1940,12,"TORONTO",7
1940,7,"TORONTO",7
1940,6,"TORONTO",23
1940,11,"TORONTO",13
1940,10,"TORONTO",6
1940,9,"TORONTO",8
1941,8,"TORONTO",10
1941,12,"TORONTO",12
1941,6,"TORONTO",18
1941,3,"TORONTO",7
1941,5,"TORONTO",8
1941,11,"TORONTO",17
1941,10,"TORONTO",9
1941,9,"TORONTO",12
1942,4,"TORONTO",7
1942,8,"TORONTO",18
1942,12,"TORONTO",12
1942,1,"TORONTO",11
1942,7,"TORONTO",20
1942,6,"TORONTO",18
1942,6,"WINDSOR",6
1942,3,"TORONTO",9
1942,5,"OTTAWA",6
1942,5,"TORONTO",9
1942,11,"TORONTO",12
1942,10,"TORONTO",13
1942,9,"TORONTO",12
1943,12,"TORONTO",14
1943,2,"TORONTO",7
1943,1,"TORONTO",10
1943,7,"TORONTO",15
1943,6,"TORONTO",11
1943,3,"TORONTO",6
1943,11,"TORONTO",9
1943,9,"TORONTO",12
1944,8,"TORONTO",8
1944,12,"TORONTO",6
1944,2,"TORONTO",6
